code,name,pinyin,pinyin_full,market
000001,平安银行,payh,pinganyinhang,A股
000002,万  科Ａ,w  kａ,wan  keａ,A股
000004,*ST国华,*stgh,*stguohua,A股
000006,深振业Ａ,szyａ,shenzhenyeａ,A股
000007,全新好,qxh,quanxinhao,A股
000008,神州高铁,szgt,shenzhougaotie,A股
000009,中国宝安,zgba,zhongguobaoan,A股
000010,*ST美丽,*stml,*stmeili,A股
000011,深物业A,swya,shenwuyea,A股
000012,南  玻Ａ,n  bａ,nan  boａ,A股
000014,沙河股份,shgf,shahegufen,A股
000016,*ST康佳A,*stkja,*stkangjiaa,A股
000017,深中华A,szha,shenzhonghuaa,A股
000019,深粮控股,slkg,shenliangkonggu,A股
000020,深华发Ａ,shfａ,shenhuafaａ,A股
000021,深科技,skj,shenkeji,A股
000025,特  力Ａ,t  lａ,te  liａ,A股
000026,飞亚达,fyd,feiyada,A股
000027,深圳能源,szny,shenzhennengyuan,A股
000028,国药一致,gyyz,guoyaoyizhi,A股
000029,深深房Ａ,ssfａ,shenshenfangａ,A股
000030,富奥股份,fagf,fuaogufen,A股
000031,大悦城,dyc,dayuecheng,A股
000032,深桑达Ａ,ssdａ,shensangdaａ,A股
000034,神州数码,szsm,shenzhoushuma,A股
000035,中国天楹,zgty,zhongguotianying,A股
000036,华联控股,hlkg,hualiankonggu,A股
000037,深南电A,snda,shennandiana,A股
000039,中集集团,zjjt,zhongjijituan,A股
000042,中洲控股,zzkg,zhongzhoukonggu,A股
000045,深纺织Ａ,sfzａ,shenfangzhiａ,A股
000048,京基智农,jjzn,jingjizhinong,A股
000049,德赛电池,dsdc,desaidianchi,A股
000050,深天马Ａ,stmａ,shentianmaａ,A股
000055,方大集团,fdjt,fangdajituan,A股
000056,*ST皇庭,*stht,*sthuangting,A股
000058,深 赛 格,s s g,shen sai ge,A股
000059,华锦股份,hjgf,huajingufen,A股
000060,中金岭南,zjln,zhongjinlingnan,A股
000061,农 产 品,n c p,nong chan pin,A股
000062,深圳华强,szhq,shenzhenhuaqiang,A股
000063,中兴通讯,zxtx,zhongxingtongxun,A股
000065,北方国际,bfgj,beifangguoji,A股
000066,中国长城,zgcc,zhongguochangcheng,A股
000068,华控赛格,hksg,huakongsaige,A股
000069,华侨城Ａ,hqcａ,huaqiaochengａ,A股
000070,特发信息,tfxx,tefaxinxi,A股
000078,ST海王,sthw,sthaiwang,A股
000088,盐 田 港,y t g,yan tian gang,A股
000089,深圳机场,szjc,shenzhenjichang,A股
000090,天健集团,tjjt,tianjianjituan,A股
000096,广聚能源,gjny,guangjunengyuan,A股
000099,中信海直,zxhz,zhongxinhaizhi,A股
000100,TCL科技,tclkj,tclkeji,A股
000151,中成股份,zcgf,zhongchenggufen,A股
000153,丰原药业,fyyy,fengyuanyaoye,A股
000155,川能动力,cndl,chuannengdongli,A股
000156,华数传媒,hscm,huashuchuanmei,A股
000157,中联重科,zlzk,zhonglianzhongke,A股
000158,常山北明,csbm,changshanbeiming,A股
000159,国际实业,gjsy,guojishiye,A股
000166,申万宏源,swhy,shenwanhongyuan,A股
000301,东方盛虹,dfsh,dongfangshenghong,A股
000333,美的集团,mdjt,meidejituan,A股
000338,潍柴动力,wcdl,weichaidongli,A股
000400,许继电气,xjdq,xujidianqi,A股
000401,金隅冀东,jyjd,jinyujidong,A股
000402,金 融 街,j r j,jin rong jie,A股
000403,派林生物,plsw,pailinshengwu,A股
000404,长虹华意,chhy,changhonghuayi,A股
000407,胜利股份,slgf,shengligufen,A股
000408,藏格矿业,cgky,canggekuangye,A股
000409,云鼎科技,ydkj,yundingkeji,A股
000410,沈阳机床,syjc,shenyangjichuang,A股
000411,英特集团,ytjt,yingtejituan,A股
000415,渤海租赁,bhzl,bohaizulin,A股
000417,合百集团,hbjt,hebaijituan,A股
000419,通程控股,tckg,tongchengkonggu,A股
000420,吉林化纤,jlhx,jilinhuaxian,A股
000421,南京公用,njgy,nanjinggongyong,A股
000422,湖北宜化,hbyh,hubeiyihua,A股
000423,东阿阿胶,deej,dongeejiao,A股
000425,徐工机械,xgjx,xugongjixie,A股
000426,兴业银锡,xyyx,xingyeyinxi,A股
000428,华天酒店,htjd,huatianjiudian,A股
000429,粤高速Ａ,ygsａ,yuegaosuａ,A股
000430,ST张家界,stzjj,stzhangjiajie,A股
000488,ST晨鸣,stcm,stchenming,A股
000498,山东路桥,sdlq,shandongluqiao,A股
000501,武商集团,wsjt,wushangjituan,A股
000503,国新健康,gxjk,guoxinjiankang,A股
000504,*ST生物,*stsw,*stshengwu,A股
000505,京粮控股,jlkg,jingliangkonggu,A股
000506,招金黄金,zjhj,zhaojinhuangjin,A股
000507,珠海港,zhg,zhuhaigang,A股
000509,华塑控股,hskg,huasukonggu,A股
000510,新金路,xjl,xinjinlu,A股
000513,丽珠集团,lzjt,lizhujituan,A股
000514,渝 开 发,y k f,yu kai fa,A股
000516,国际医学,gjyx,guojiyixue,A股
000517,荣安地产,radc,rongandichan,A股
000518,*ST四环,*stsh,*stsihuan,A股
000519,中兵红箭,zbhj,zhongbinghongjian,A股
000520,凤凰航运,fhhy,fenghuanghangyun,A股
000521,长虹美菱,chml,changhongmeiling,A股
000523,红棉股份,hmgf,hongmiangufen,A股
000524,岭南控股,lnkg,lingnankonggu,A股
000525,红太阳,hty,hongtaiyang,A股
000526,学大教育,xdjy,xuedajiaoyu,A股
000528,柳    工,l    g,liu    gong,A股
000529,广弘控股,ghkg,guanghongkonggu,A股
000530,冰山冷热,bslr,bingshanlengre,A股
000531,穗恒运Ａ,shyａ,suihengyunａ,A股
000532,华金资本,hjzb,huajinziben,A股
000533,顺钠股份,sngf,shunnagufen,A股
000534,万泽股份,wzgf,wanzegufen,A股
000536,华映科技,hykj,huayingkeji,A股
000537,绿发电力,lfdl,lvfadianli,A股
000538,云南白药,ynby,yunnanbaiyao,A股
000539,粤电力Ａ,ydlａ,yuedianliａ,A股
000541,佛山照明,fszm,foshanzhaoming,A股
000543,皖能电力,wndl,wannengdianli,A股
000544,中原环保,zyhb,zhongyuanhuanbao,A股
000545,金浦钛业,jpty,jinputaiye,A股
000546,金圆股份,jygf,jinyuangufen,A股
000547,航天发展,htfz,hangtianfazhan,A股
000548,湖南投资,hntz,hunantouzi,A股
000550,江铃汽车,jlqc,jianglingqiche,A股
000551,创元科技,cykj,chuangyuankeji,A股
000552,甘肃能化,gsnh,gansunenghua,A股
000553,安道麦A,adma,andaomaia,A股
000554,泰山石油,tssy,taishanshiyou,A股
000555,神州信息,szxx,shenzhouxinxi,A股
000557,西部创业,xbcy,xibuchuangye,A股
000558,天府文旅,tfwl,tianfuwenlv,A股
000559,万向钱潮,wxqc,wanxiangqianchao,A股
000560,我爱我家,wawj,woaiwojia,A股
000561,烽火电子,fhdz,fenghuodianzi,A股
000563,陕国投Ａ,sgtａ,shanguotouａ,A股
000564,供销大集,gxdj,gongxiaodaji,A股
000565,渝三峡Ａ,ysxａ,yusanxiaａ,A股
000566,海南海药,hnhy,hainanhaiyao,A股
000567,海德股份,hdgf,haidegufen,A股
000568,泸州老窖,lzlj,luzhoulaojiao,A股
000570,苏常柴Ａ,sccａ,suchangchaiａ,A股
000571,新大洲A,xdza,xindazhoua,A股
000572,海马汽车,hmqc,haimaqiche,A股
000573,粤宏远Ａ,yhyａ,yuehongyuanａ,A股
000576,甘化科工,ghkg,ganhuakegong,A股
000581,威孚高科,wfgk,weifugaoke,A股
000582,北部湾港,bbwg,beibuwangang,A股
000586,汇源通信,hytx,huiyuantongxin,A股
000589,贵州轮胎,gzlt,guizhouluntai,A股
000590,古汉医药,ghyy,guhanyiyao,A股
000591,太阳能,tyn,taiyangneng,A股
000592,平潭发展,ptfz,pingtanfazhan,A股
000593,德龙汇能,dlhn,delonghuineng,A股
000595,*ST宝实,*stbs,*stbaoshi,A股
000596,古井贡酒,gjgj,gujinggongjiu,A股
000597,东北制药,dbzy,dongbeizhiyao,A股
000598,兴蓉环境,xrhj,xingronghuanjing,A股
000599,青岛双星,qdsx,qingdaoshuangxing,A股
000600,建投能源,jtny,jiantounengyuan,A股
000601,韶能股份,sngf,shaonenggufen,A股
000603,盛达资源,sdzy,shengdaziyuan,A股
000605,渤海股份,bhgf,bohaigufen,A股
000607,华媒控股,hmkg,huameikonggu,A股
000608,*ST阳光,*styg,*styangguang,A股
000609,*ST中迪,*stzd,*stzhongdi,A股
000610,*ST西旅,*stxl,*stxilv,A股
000612,焦作万方,jzwf,jiaozuowanfang,A股
000615,*ST美谷,*stmg,*stmeigu,A股
000617,中油资本,zyzb,zhongyouziben,A股
000619,海螺新材,hlxc,hailuoxincai,A股
000620,盈新发展,yxfz,yingxinfazhan,A股
000623,吉林敖东,jlad,jilinaodong,A股
000625,长安汽车,caqc,changanqiche,A股
000626,远大控股,ydkg,yuandakonggu,A股
000628,高新发展,gxfz,gaoxinfazhan,A股
