code,name,pinyin,pinyin_full,market
00001,长和,zh,zhanghe,港股
00002,中电控股,zdkg,zhongdiankonggu,港股
00003,香港中华煤气,xgzhmq,xianggangzhonghuameiqi,港股
00004,九龙仓集团,jlcjt,jiulongcangjituan,港股
00005,汇丰控股,hfkg,huifengkonggu,港股
00006,电能实业,dnsy,diannengshiye,港股
00007,智富资源投资,zfzytz,zhifuziyuantouzi,港股
00008,电讯盈科,dxyk,dianxunyingke,港股
00010,恒隆集团,hljt,henglongjituan,港股
00012,恒基地产,hjdc,hengjidichan,港股
00013,和黄医药,hhyy,hehuangyiyao,港股
00014,希慎兴业,xsxy,xishenxingye,港股
00016,新鸿基地产,xhjdc,xinhongjidichan,港股
00017,新世界发展,xsjfz,xinshijiefazhan,港股
00018,东方传媒集团,dfcmjt,dongfangchuanmeijituan,港股
00019,太古股份公司Ａ,tggfgsａ,taigugufengongsiａ,港股
00020,商汤－Ｗ,st－ｗ,shangtang－ｗ,港股
00021,大中华控股,dzhkg,dazhonghuakonggu,港股
00022,茂盛控股,mskg,maoshengkonggu,港股
00023,东亚银行,dyyh,dongyayinhang,港股
00025,CHEVALIER INT'L,chevalier int'l,chevalier int'l,港股
00026,中华汽车,zhqc,zhonghuaqiche,港股
00027,银河娱乐,yhyl,yinheyule,港股
00028,天安,ta,tianan,港股
00029,达力集团,dljt,dalijituan,港股
00030,云白国际,ybgj,yunbaiguoji,港股
00031,航天控股,htkg,hangtiankonggu,港股
00032,港通控股,gtkg,gangtongkonggu,港股
00033,INTL GENIUS,intl genius,intl genius,港股
00034,九龙建业,jljy,jiulongjianye,港股
00035,远东发展,ydfz,yuandongfazhan,港股
00036,远东控股国际,ydkggj,yuandongkongguguoji,港股
00037,远东酒店实业,ydjdsy,yuandongjiudianshiye,港股
00038,第一拖拉机股份,dytljgf,diyituolajigufen,港股
00039,中国北大荒,zgbdh,zhongguobeidahuang,港股
00040,金山科技工业,jskjgy,jinshankejigongye,港股
00041,鹰君,yj,yingjun,港股
00042,东北电气,dbdq,dongbeidianqi,港股
00045,大酒店,djd,dajiudian,港股
00046,科联系统,klxt,kelianxitong,港股
00048,中国汽车内饰,zgqcns,zhongguoqicheneishi,港股
00050,香港小轮（集团）,xgxl（jt）,xianggangxiaolun（jituan）,港股
00051,海港企业,hgqy,haigangqiye,港股
00052,大快活集团,dkhjt,dakuaihuojituan,港股
00053,国浩集团,ghjt,guohaojituan,港股
00055,中星集团控股,zxjtkg,zhongxingjituankonggu,港股
00057,震雄集团,zxjt,zhenxiongjituan,港股
00058,新威国际,xwgj,xinweiguoji,港股
00059,天誉置业,tyzy,tianyuzhiye,港股
00060,香港食品投资,xgsptz,xianggangshipintouzi,港股
00061,绿领控股,llkg,lvlingkonggu,港股
00062,载通,zt,zaitong,港股
00063,中亚烯谷集团,zyxgjt,zhongyaxigujituan,港股
00064,结好控股,jhkg,jiehaokonggu,港股
00065,弘海高新资源,hhgxzy,honghaigaoxinziyuan,港股
00066,港铁公司,gtgs,gangtiegongsi,港股
00068,MANYCORE TECH,manycore tech,manycore tech,港股
00069,香格里拉（亚洲）,xgll（yz）,xianggelila（yazhou）,港股
00070,金粤控股,jykg,jinyuekonggu,港股
